iter	Logloss
0	0.6860443642
1	0.6790037451
2	0.6720934925
3	0.665407308
4	0.6595192633
5	0.6537599405
6	0.6477776085
7	0.6422352315
8	0.6365632412
9	0.6309716177
10	0.6256946797
11	0.6204572426
12	0.6152842137
13	0.6103084379
14	0.6056258192
15	0.600870379
16	0.5969986449
17	0.5927317681
18	0.5885259632
19	0.5843861251
20	0.5802683894
21	0.576414568
22	0.5726875887
23	0.5687652346
24	0.5654449544
25	0.5618397378
26	0.5584658118
27	0.5549171687
28	0.5518230222
29	0.5484522374
30	0.5454459711
31	0.5429892029
32	0.5401717658
33	0.5373730165
34	0.5345023461
35	0.5319637647
36	0.529592621
37	0.5269803221
38	0.5248967414
39	0.5222211268
40	0.5201613534
41	0.5178710775
42	0.5155859172
43	0.5131840218
44	0.5111002733
45	0.5088844839
46	0.50670985
47	0.5046547735
48	0.5033088115
49	0.5014213556
50	0.4995067884
51	0.4977395042
52	0.4958186432
53	0.494110445
54	0.4925253716
55	0.4910009811
56	0.4893270256
57	0.4881408754
58	0.4866759044
59	0.4853402953
60	0.483962357
61	0.4824957062
62	0.4812659443
63	0.4800229933
64	0.478652446
65	0.4771571929
66	0.4758180549
67	0.4746584538
68	0.4734532572
69	0.4724209152
70	0.471354074
71	0.4700401854
72	0.4688645534
73	0.4677651499
74	0.4666794449
75	0.4657839013
76	0.4648256887
77	0.4638316085
78	0.4628032279
79	0.4618767409
80	0.4607896083
81	0.4597657863
82	0.4588070267
83	0.4580123905
84	0.4571211266
85	0.4562644248
86	0.4555267879
87	0.4546958472
88	0.4538737036
89	0.4529282371
90	0.4521178818
91	0.451326948
92	0.4505533578
93	0.4498018606
94	0.4490904585
95	0.4483631811
96	0.4476770994
97	0.4471156265
98	0.4463832824
99	0.4456466263
100	0.4450582693
101	0.4444046671
102	0.4437782947
103	0.4430814884
104	0.4424444731
105	0.4418134821
106	0.4411883325
107	0.4406064119
108	0.4401199981
109	0.4395460214
110	0.4390723038
111	0.4384218353
112	0.4379045885
113	0.4372794102
114	0.4367726772
115	0.4362322204
116	0.4358066542
117	0.4353148173
118	0.4347323226
119	0.4342489384
120	0.4337972478
121	0.4332498622
122	0.432838306
123	0.4323370297
124	0.4319169075
125	0.4314226309
126	0.4309926089
127	0.4305009567
128	0.4300205046
129	0.4296440428
130	0.4293267975
131	0.4289581677
132	0.4286045347
133	0.4281144395
134	0.4276781328
135	0.4272359786
136	0.4269332416
137	0.4265520664
138	0.4262237882
139	0.4259387242
140	0.425650666
141	0.4252852319
142	0.4249487716
143	0.4246266235
144	0.4242637036
145	0.4239385635
146	0.4235981231
147	0.4232647506
148	0.4229974376
149	0.42267245
150	0.4223680509
151	0.4220135163
152	0.4217554849
153	0.4215026019
154	0.4211168412
155	0.4208861922
156	0.4205848282
157	0.4202971839
158	0.4200464187
159	0.4197634773
160	0.4193932824
161	0.4191564299
162	0.4189230041
163	0.4186771379
164	0.4183956007
165	0.4181811422
166	0.4179195309
167	0.4176902302
168	0.4174255111
169	0.4171584834
170	0.4169037215
171	0.416623463
172	0.4164436029
173	0.4161375111
174	0.4159741906
175	0.4157486509
176	0.4155150682
177	0.4153176109
178	0.4151153744
179	0.4149163151
180	0.4146905195
181	0.4144531877
182	0.414280072
183	0.4141399884
184	0.4139756653
185	0.4137402703
186	0.4135733938
187	0.4133888508
188	0.4131816067
189	0.4129156929
190	0.4127106786
191	0.4125033255
192	0.4123149027
193	0.4121109389
194	0.4119511788
195	0.4117553977
196	0.4115957177
197	0.4113636634
198	0.4111955119
