iter	Logloss
199	0.4110200492
200	0.4109170075
201	0.4107070392
202	0.4105410332
203	0.4103847569
204	0.4102004615
205	0.4100442348
206	0.4098941333
207	0.4097715636
208	0.4095824357
209	0.4093823095
210	0.4092532729
211	0.4090905437
212	0.4089377961
213	0.4087905928
214	0.4086023591
215	0.4084279306
216	0.4082539514
217	0.408113298
218	0.4079842421
219	0.4078470762
220	0.4076334533
221	0.4074578245
222	0.4073342376
223	0.4071873238
224	0.4070625037
225	0.4069107469
226	0.4068084721
227	0.4066812029
228	0.4065102612
229	0.4063346938
230	0.4061851991
231	0.4060704999
232	0.4059488079
233	0.4058033281
234	0.4056943938
235	0.4055640868
236	0.4054348207
237	0.4052747824
238	0.4051259585
239	0.4050085858
240	0.4049122799
241	0.4047594255
242	0.4046401183
243	0.4045363035
244	0.4044269085
245	0.4043399971
246	0.4042379431
247	0.4041561802
248	0.4039849129
249	0.4038681354
250	0.4037138031
251	0.4036118029
252	0.4035007455
253	0.4034352793
254	0.4033194521
255	0.4032374333
256	0.4031225545
257	0.4030295769
258	0.402908531
259	0.402780997
260	0.4026527411
261	0.4025573067
262	0.4024187035
263	0.4023334972
264	0.4022462262
265	0.4021056106
266	0.4019901741
267	0.4019387607
268	0.4017912691
269	0.4017069542
270	0.401594032
271	0.4014906592
272	0.4013609446
273	0.401231009
274	0.4010903122
275	0.4009966737
276	0.4008863871
277	0.4007659684
278	0.4006973607
279	0.4005608279
280	0.4004602705
281	0.4003826207
282	0.4003233026
283	0.4002615794
284	0.4001756149
285	0.4000489215
286	0.3999283579
287	0.3998187356
288	0.3997272772
289	0.3996333156
290	0.3995492545
291	0.3994387465
292	0.3993248991
293	0.3992272276
294	0.3991299883
295	0.3990328372
296	0.3989475353
297	0.3988737338
298	0.3988024708
299	0.3987121728
300	0.39860527
301	0.3985298331
302	0.3984300655
303	0.3983475633
304	0.3982994883
305	0.3982175677
306	0.3981543382
307	0.3980697261
308	0.397976918
309	0.397909294
310	0.3978183087
311	0.397737954
312	0.3976549946
313	0.3975430745
314	0.3974808931
315	0.3973914083
316	0.3973172533
317	0.3972246655
318	0.3971740317
319	0.397082706
320	0.3969833598
321	0.3968831955
322	0.3968344437
323	0.396762774
324	0.3966435015
325	0.3965687428
326	0.3965211388
327	0.3964359034
328	0.3963570948
329	0.3963188762
330	0.3962496311
331	0.3961568354
332	0.3960739121
333	0.3960062133
334	0.3959328037
335	0.3958598355
336	0.3958043275
337	0.3957236846
338	0.3956275235
339	0.3955679064
340	0.3954688598
341	0.3953771862
342	0.3952883211
343	0.3951887665
344	0.3951264396
345	0.3950420966
346	0.3949647653
347	0.3948509325
348	0.3947941681
349	0.3947064487
350	0.3946459718
351	0.3945708323
352	0.39448324
353	0.3944318534
354	0.3943503493
355	0.3942846643
356	0.3942235972
357	0.39416687
358	0.3940765832
359	0.394024184
360	0.3939600904
361	0.3938872952
362	0.3938285387
363	0.3937663935
364	0.3936990886
365	0.3936165832
366	0.393520419
367	0.393436428
368	0.3933851422
369	0.3933705249
370	0.3932819028
371	0.3932295896
372	0.393169391
373	0.3931237575
374	0.3930537129
375	0.3929941791
376	0.3929299314
377	0.3928888809
378	0.3928199523
379	0.3927060875
380	0.3926201835
381	0.3925818254
382	0.3925303458
383	0.3924431728
384	0.3923985556
385	0.3923313887
386	0.392291934
387	0.3922444681
388	0.3921864638
389	0.3921086948
390	0.3920490803
391	0.3919782077
392	0.3919160364
393	0.391860582
394	0.3918146843
395	0.3917356545
396	0.3916625065
397	0.3915607136
398	0.3914805156
399	0.3914057066
400	0.3913344969
401	0.3912758168
402	0.3912395468
403	0.3911843075
404	0.3911575746
405	0.3911122314
406	0.3910589482
407	0.3909897847
408	0.3909046536
409	0.3908448668
410	0.3907649529
411	0.3906988465
412	0.3906173037
413	0.3905571118
414	0.3905287087
415	0.3904568636
416	0.390429056
417	0.3903653956
418	0.3902762267
419	0.3902446821
420	0.3901765286
421	0.3901381392
422	0.3901032755
423	0.3900234354
424	0.3899564063
425	0.3898923295
426	0.3898487586
427	0.3897784338
428	0.3897080505
429	0.3896306632
430	0.389557382
431	0.3895214216
432	0.389447199
433	0.3894088219
434	0.3893485102
435	0.3892743096
436	0.389245639
437	0.3891721302
438	0.389103634
439	0.3890362694
440	0.3889687563
441	0.3889073872
442	0.388842873
443	0.3887850008
444	0.3887032657
445	0.3886209854
446	0.3885779201
447	0.3884901913
448	0.3884224016
449	0.388383827
450	0.3883131449
451	0.3882316788
452	0.3881605045
453	0.388111772
454	0.3880154139
455	0.3879552629
456	0.3878647067
457	0.3878340888
458	0.3877637037
459	0.3876650353
460	0.387620218
461	0.3875695091
462	0.3874982195
463	0.3874409131
464	0.3873810069
465	0.3873051786
466	0.3872655111
467	0.3872265246
468	0.3871446785
469	0.3870889056
470	0.3870328336
471	0.386956289
472	0.3869249616
473	0.3868821099
474	0.3868283019
475	0.3867595294
476	0.386701034
477	0.3866335945
478	0.38656509
479	0.3865360383
480	0.3864946569
481	0.3864583385
482	0.3864203512
483	0.3863458037
484	0.3862765619
485	0.3862044561
486	0.3861196707
487	0.3860524597
488	0.386015959
489	0.385959205
490	0.3859071724
491	0.3858669259
492	0.3858259312
493	0.3857517229
494	0.3856971694
495	0.3856601556
496	0.38561644
497	0.385574323
498	0.3855230257
499	0.3854538399
